species,treatment,replicate,row,column,sp_rep,genotype,fragment,month,bw_raw,bw_initial_raw
aten,fish,2,C,7,7,4,20,0,6.662,6.662
aten,fish,2,C,1,5,4,26,0,6.208,6.208
aten,fish,2,A,8,1,5,30,0,4.78,4.78
aten,fish,2,C,8,8,5,31,0,5.976,5.976
aten,fish,3,D,1,9,1,29,0,4.284,4.284
aten,fish,3,C,1,5,1,30,0,4.998,4.998
aten,fish,3,C,6,6,2,33,0,6.108,6.108
aten,fish,3,B,6,4,2,41,0,6.235,6.235
aten,fish,3,C,8,8,3,34,0,4.63,4.63
aten,fish,3,B,3,3,3,35,0,5.39,5.39
aten,fish,3,C,7,7,4,34,0,5.235,5.235
aten,fish,3,E,2,10,4,41,0,6.542,6.542
aten,fish,3,A,8,1,5,14,0,6.044,6.044
aten,fish,3,A,9,2,5,15,0,6.115,6.115
aten,fish,4,B,6,4,1,11,0,4.569,4.569
aten,fish,4,D,1,9,2,7,0,6.462,6.462
aten,fish,4,A,8,1,2,22,0,5.084,5.084
aten,fish,4,C,1,5,3,13,0,5.946,5.946
aten,fish,4,E,2,10,3,22,0,6.333,6.333
aten,fish,4,B,3,3,4,48,0,4.492,4.492
aten,fish,4,C,6,6,4,49,0,4.867,4.867
aten,fish,4,C,8,8,5,29,0,5.244,5.244
aten,fish,4,A,9,2,5,42,0,6.011,6.011
aten,fish,4,C,7,7,5,44,0,5.021,5.021
aten,livefeeds,1,E,2,10,1,37,0,4.992,4.992
aten,livefeeds,1,D,1,9,1,45,0,6.33,6.33
aten,livefeeds,1,C,1,5,2,10,0,4.739,4.739
aten,livefeeds,1,B,3,3,2,18,0,5.297,5.297
aten,livefeeds,1,C,6,6,3,11,0,6.358,6.358
aten,livefeeds,1,B,6,4,3,21,0,5.709,5.709
aten,livefeeds,1,A,9,2,4,9,0,6.425,6.425
aten,livefeeds,1,C,7,7,4,21,0,4.865,4.865
aten,livefeeds,1,A,8,1,5,3,0,6.821,6.821
aten,livefeeds,1,C,8,8,5,12,0,5.831,5.831
aten,livefeeds,2,B,3,3,1,10,0,5.975,5.975
aten,livefeeds,2,B,6,4,1,13,0,5.547,5.547
aten,livefeeds,2,D,1,9,2,6,0,5.962,5.962
aten,livefeeds,2,C,1,5,2,39,0,5.961,5.961
aten,livefeeds,2,C,6,6,3,12,0,6.767,6.767
aten,livefeeds,2,A,9,2,3,26,0,6.07,6.07
aten,livefeeds,2,E,2,10,4,8,0,7.032,7.032
aten,livefeeds,2,C,7,7,4,19,0,5.089,5.089
aten,livefeeds,2,A,8,1,5,10,0,5.957,5.957
aten,livefeeds,2,C,8,8,5,38,0,5.723,5.723
aten,livefeeds,3,B,6,4,1,39,0,5.821,5.821
aten,livefeeds,3,C,1,5,1,40,0,5.031,5.031
aten,livefeeds,3,C,6,6,2,37,0,7.981,7.981
aten,livefeeds,3,E,2,10,2,43,0,4.997,4.997
aten,livefeeds,3,B,3,3,3,43,0,6.723,6.723
aten,livefeeds,3,D,1,9,3,49,0,5.953,5.953
aten,livefeeds,3,C,8,8,4,32,0,5.042,5.042
aten,livefeeds,3,C,7,7,4,33,0,7.334,7.334
aten,livefeeds,3,A,9,2,5,18,0,6.154,6.154
aten,livefeeds,3,A,8,1,5,19,0,5.404,5.404
aten,livefeeds,4,B,6,4,1,8,0,5.472,5.472
aten,livefeeds,4,E,2,10,2,8,0,5.452,5.452
aten,livefeeds,4,C,1,5,2,15,0,4.85,4.85
aten,livefeeds,4,B,3,3,3,23,0,6.813,6.813
aten,livefeeds,4,D,1,9,3,28,0,6.568,6.568
aten,livefeeds,4,A,8,1,4,39,0,5.497,5.497
aten,livefeeds,4,C,8,8,4,45,0,5.902,5.902
aten,livefeeds,4,A,9,2,4,47,0,4.778,4.778
aten,livefeeds,4,C,6,6,5,21,0,6.064,6.064
aten,livefeeds,4,C,7,7,5,28,0,4.906,4.906
aten,mix,1,C,6,6,1,14,0,5.965,5.965
aten,mix,1,C,8,8,1,27,0,4.482,4.482
aten,mix,1,C,7,7,2,1,0,5.29,5.29
aten,mix,1,D,1,9,2,38,0,5.367,5.367
aten,mix,1,B,3,3,3,3,0,4.805,4.805
aten,mix,1,A,9,2,3,9,0,4.947,4.947
aten,mix,1,C,1,5,4,4,0,4.676,4.676
aten,mix,1,E,2,10,4,6,0,5.872,5.872
aten,mix,1,B,6,4,5,8,0,5.968,5.968
aten,mix,1,A,8,1,5,50,0,6.82,6.82
aten,mix,2,C,7,7,1,1,0,5.313,5.313
aten,mix,2,A,9,2,1,28,0,4.654,4.654
aten,mix,2,C,1,5,2,2,0,4.841,4.841
aten,mix,2,A,8,1,2,16,0,4.679,4.679
aten,mix,2,C,8,8,3,10,0,5.719,5.719
aten,mix,2,C,6,6,3,18,0,6.272,6.272
aten,mix,2,E,2,10,4,2,0,7.133,7.133
aten,mix,2,B,3,3,4,42,0,4.69,4.69
aten,mix,2,B,6,4,5,24,0,5.91,5.91
aten,mix,2,D,1,9,5,39,0,5.052,5.052
aten,mix,3,C,1,5,1,34,0,4.687,4.687
aten,mix,3,D,1,9,1,46,0,4.766,4.766
aten,mix,3,B,3,3,2,46,0,4.915,4.915
aten,mix,3,C,6,6,2,49,0,5.626,5.626
aten,mix,3,E,2,10,3,27,0,6.316,6.316
aten,mix,3,B,6,4,3,39,0,5.778,5.778
aten,mix,3,C,8,8,4,17,0,6.276,6.276
aten,mix,3,C,7,7,4,24,0,5.478,5.478
aten,mix,3,A,8,1,5,9,0,4.941,4.941
aten,mix,3,A,9,2,5,23,0,5.216,5.216
aten,mix,4,B,3,3,1,35,0,5.568,5.568
aten,mix,4,B,6,4,1,47,0,5.263,5.263
aten,mix,4,C,1,5,2,36,0,7.084,7.084
aten,mix,4,C,8,8,2,40,0,5.423,5.423
aten,mix,4,D,1,9,3,6,0,6.035,6.035
aten,mix,4,E,2,10,3,38,0,5.206,5.206
aten,mix,4,C,6,6,4,15,0,5.989,5.989
aten,mix,4,C,7,7,4,28,0,5.82,5.82
aten,mix,4,A,9,2,5,16,0,4.657,4.657
aten,mix,4,A,8,1,5,17,0,5.265,5.265
aten,pellets,1,C,1,5,1,31,0,5.447,5.447
aten,pellets,1,E,2,10,1,32,0,5.409,5.409
aten,pellets,1,D,1,9,2,12,0,6.062,6.062
aten,pellets,1,C,6,6,2,47,0,5.571,5.571
aten,pellets,1,B,6,4,3,36,0,5.871,5.871
aten,pellets,1,B,3,3,3,47,0,5.156,5.156
aten,pellets,1,C,8,8,4,40,0,5.143,5.143
aten,pellets,1,C,7,7,4,43,0,5.541,5.541
aten,pellets,1,A,8,1,5,34,0,6.137,6.137
aten,pellets,1,A,9,2,5,40,0,5.718,5.718
aten,pellets,2,E,2,10,1,6,0,4.614,4.614
aten,pellets,2,D,1,9,1,7,0,5.685,5.685
aten,pellets,2,B,3,3,2,26,0,5.759,5.759
aten,pellets,2,C,1,5,2,27,0,5.683,5.683
aten,pellets,2,C,6,6,3,33,0,4.987,4.987
aten,pellets,2,B,6,4,3,40,0,6.683,6.683
aten,pellets,2,A,9,2,4,22,0,5.245,5.245
aten,pellets,2,A,8,1,4,23,0,4.909,4.909
aten,pellets,2,C,7,7,5,25,0,5.646,5.646
aten,pellets,2,C,8,8,5,26,0,4.495,4.495
aten,pellets,3,D,1,9,1,5,0,5.54,5.54
aten,pellets,3,C,1,5,2,20,0,5.358,5.358
aten,pellets,3,B,3,3,2,45,0,5.627,5.627
aten,pellets,3,E,2,10,2,51,0,5.714,5.714
aten,pellets,3,B,6,4,3,45,0,5.132,5.132
aten,pellets,3,C,6,6,3,61,0,5.897,5.897
aten,pellets,3,A,9,2,4,30,0,6.071,6.071
aten,pellets,3,C,7,7,4,44,0,5.084,5.084
aten,pellets,3,C,8,8,5,32,0,4.944,4.944
aten,pellets,3,A,8,1,5,35,0,5.709,5.709
aten,pellets,4,A,8,1,1,15,0,5.401,5.401
aten,pellets,4,A,9,2,2,3,0,5.041,5.041
aten,pellets,4,C,7,7,2,4,0,6.07,6.07
aten,pellets,4,C,8,8,2,5,0,5.506,5.506
aten,pellets,4,C,1,5,3,4,0,4.887,4.887
aten,pellets,4,C,6,6,3,5,0,4.67,4.67
aten,pellets,4,B,3,3,4,35,0,5.726,5.726
aten,pellets,4,B,6,4,4,38,0,5.054,5.054
aten,pellets,4,E,2,10,5,33,0,5.663,5.663
aten,pellets,4,D,1,9,5,41,0,5.241,5.241
pdae,control,1,C,10,6,1,28,0,7.965,7.965
pdae,control,1,A,7,3,1,33,0,7.246,7.246
pdae,control,1,C,4,5,2,31,0,10.446,10.446
pdae,control,1,D,4,7,2,32,0,8.499,8.499
pdae,control,1,D,10,8,2,34,0,10.001,10.001
pdae,control,1,E,3,9,3,31,0,13.302,13.302
pdae,control,1,B,1,4,4,4,0,7.131,7.131
pdae,control,1,A,1,1,4,44,0,11.749,11.749
pdae,control,1,A,5,2,5,5,0,6.605,6.605
pdae,control,1,E,10,10,5,8,0,7.55,7.55
pdae,control,2,D,10,8,1,36,0,8.36,8.36
pdae,control,2,A,7,3,1,39,0,6.33,6.33
pdae,control,2,C,4,5,2,1,0,10.729,10.729
pdae,control,2,A,5,2,2,23,0,7.983,7.983
pdae,control,2,C,10,6,3,7,0,15.241,15.241
pdae,control,2,E,10,10,3,24,0,14.971,14.971
pdae,control,2,A,1,1,4,39,0,16.241,16.241
pdae,control,2,E,3,9,4,47,0,10.212,10.212
pdae,control,2,B,1,4,5,1,0,7.909,7.909
pdae,control,2,D,4,7,5,2,0,7.967,7.967
pdae,control,3,A,1,1,1,20,0,12.358,12.358
pdae,control,3,D,10,8,1,25,0,9.148,9.148
pdae,control,3,C,10,6,2,38,0,8.6,8.6
pdae,control,3,C,4,5,2,46,0,9.172,9.172
pdae,control,3,E,3,9,3,14,0,8.551,8.551
pdae,control,3,E,10,10,3,15,0,16.355,16.355
pdae,control,3,B,1,4,4,33,0,10.272,10.272
pdae,control,3,A,5,2,4,42,0,7.498,7.498
pdae,control,3,A,7,3,5,10,0,12.383,12.383
pdae,control,3,D,4,7,5,54,0,7.831,7.831
pdae,control,4,E,3,9,1,7,0,13.113,13.113
pdae,control,4,E,10,10,1,49,0,11.469,11.469
pdae,control,4,A,7,3,2,8,0,13.393,13.393
pdae,control,4,C,10,6,2,9,0,7.675,7.675
pdae,control,4,A,1,1,3,19,0,9.579,9.579
pdae,control,4,A,5,2,3,41,0,7.123,7.123
pdae,control,4,B,1,4,4,11,0,11.528,11.528
