species,treatment,replicate,row,column,sp_rep,genotype,fragment,month,bw_raw,bw_initial_raw
pdae,pellets,4,C,10,6,1,32,0,12.314,12.314
pdae,pellets,4,C,4,5,2,4,0,10.811,10.811
pdae,pellets,4,D,10,8,2,48,0,7.842,7.842
pdae,pellets,4,D,4,7,3,9,0,10.875,10.875
pdae,pellets,4,E,3,9,3,37,0,10.793,10.793
pdae,pellets,4,B,1,4,4,14,0,8.435,8.435
pdae,pellets,4,A,1,1,4,26,0,16.953,16.953
pdae,pellets,4,A,7,3,5,15,0,7.171,7.171
pdae,pellets,4,E,10,10,5,30,0,9.647,9.647
plut,control,1,B,8,4,1,34,0,12.193,12.193
plut,control,1,A,2,1,2,34,0,10.916,10.916
plut,control,1,B,5,3,2,44,0,11.768,11.768
plut,control,1,D,2,7,3,17,0,9.145,9.145
plut,control,1,C,5,6,3,30,0,11.167,11.167
plut,control,1,B,9,5,3,32,0,8.537,8.537
plut,control,1,E,5,10,4,6,0,12.041,12.041
plut,control,1,D,9,9,4,19,0,9.924,9.924
plut,control,1,D,6,8,5,14,0,10.541,10.541
plut,control,1,A,10,2,5,16,0,8.841,8.841
plut,control,2,A,10,2,1,3,0,9.154,9.154
plut,control,2,B,9,5,2,29,0,10.183,10.183
plut,control,2,E,5,10,2,46,0,7.853,7.853
plut,control,2,D,9,9,3,1,0,9.964,9.964
plut,control,2,A,2,1,3,16,0,7.596,7.596
plut,control,2,B,5,3,3,25,0,9.628,9.628
plut,control,2,D,6,8,4,7,0,8.537,8.537
plut,control,2,B,8,4,4,20,0,9.314,9.314
plut,control,2,C,5,6,5,2,0,12.454,12.454
plut,control,2,D,2,7,5,21,0,8.332,8.332
plut,control,3,B,9,5,1,6,0,9.083,9.083
plut,control,3,A,10,2,1,8,0,9.182,9.182
plut,control,3,C,5,6,2,20,0,8.71,8.71
plut,control,3,D,6,8,2,31,0,7.552,7.552
plut,control,3,B,8,4,3,22,0,9.54,9.54
plut,control,3,E,5,10,3,56,0,10.529,10.529
plut,control,3,A,2,1,4,8,0,7.409,7.409
plut,control,3,D,2,7,4,9,0,10.986,10.986
plut,control,3,D,9,9,5,8,0,9.073,9.073
plut,control,3,B,5,3,5,23,0,10.296,10.296
plut,control,4,B,8,4,1,28,0,8.144,8.144
plut,control,4,B,9,5,2,18,0,8.937,8.937
plut,control,4,D,6,8,2,19,0,9.675,9.675
plut,control,4,B,5,3,3,24,0,9.076,9.076
plut,control,4,D,2,7,3,43,0,8.529,8.529
plut,control,4,C,5,6,3,59,0,8.483,8.483
plut,control,4,D,9,9,4,29,0,14.646,14.646
plut,control,4,A,10,2,4,40,0,6.207,6.207
plut,control,4,E,5,10,5,26,0,15.196,15.196
plut,control,4,A,2,1,5,37,0,8.885,8.885
plut,dissolved,1,D,6,8,1,26,0,9.26,9.26
plut,dissolved,1,B,5,3,1,32,0,10.091,10.091
plut,dissolved,1,A,2,1,2,39,0,11.594,11.594
plut,dissolved,1,C,5,6,2,45,0,9.097,9.097
plut,dissolved,1,A,10,2,3,38,0,9.858,9.858
plut,dissolved,1,E,5,10,3,57,0,12.641,12.641
plut,dissolved,1,B,8,4,4,3,0,13.285,13.285
plut,dissolved,1,B,9,5,4,25,0,9.235,9.235
plut,dissolved,1,D,9,9,5,3,0,11.231,11.231
plut,dissolved,1,D,2,7,5,12,0,9.961,9.961
plut,dissolved,2,D,9,9,1,10,0,7.371,7.371
plut,dissolved,2,D,6,8,1,17,0,8.275,8.275
plut,dissolved,2,A,2,1,2,24,0,11.729,11.729
plut,dissolved,2,A,10,2,2,52,0,7.096,7.096
plut,dissolved,2,B,5,3,3,4,0,9.122,9.122
plut,dissolved,2,D,2,7,3,29,0,10.233,10.233
plut,dissolved,2,C,5,6,4,1,0,10.077,10.077
plut,dissolved,2,E,5,10,4,24,0,10.231,10.231
plut,dissolved,2,B,9,5,5,7,0,10.13,10.13
plut,dissolved,2,B,8,4,5,15,0,10.871,10.871
plut,dissolved,3,D,6,8,1,31,0,8.517,8.517
plut,dissolved,3,A,2,1,2,13,0,8.644,8.644
plut,dissolved,3,D,9,9,2,22,0,8.484,8.484
plut,dissolved,3,A,10,2,3,18,0,7.616,7.616
plut,dissolved,3,D,2,7,3,44,0,11.631,11.631
plut,dissolved,3,B,5,3,4,38,0,10.562,10.562
plut,dissolved,3,C,5,6,4,43,0,10.376,10.376
plut,dissolved,3,B,8,4,5,29,0,11.838,11.838
plut,dissolved,3,B,9,5,5,33,0,8.488,8.488
plut,dissolved,3,E,5,10,5,51,0,13.088,13.088
plut,dissolved,4,A,10,2,1,20,0,8.924,8.924
plut,dissolved,4,B,5,3,2,9,0,9.268,9.268
plut,dissolved,4,A,2,1,2,21,0,9.401,9.401
plut,dissolved,4,C,5,6,3,9,0,9.765,9.765
plut,dissolved,4,D,2,7,3,37,0,9.544,9.544
plut,dissolved,4,E,5,10,4,34,0,9.563,9.563
plut,dissolved,4,B,9,5,4,35,0,10.47,10.47
plut,dissolved,4,B,8,4,5,25,0,7.974,7.974
plut,dissolved,4,D,6,8,5,34,0,7.469,7.469
plut,dissolved,4,D,9,9,5,35,0,9.519,9.519
plut,fish,1,A,10,2,1,5,0,12.187,12.187
plut,fish,1,B,8,4,1,35,0,11.654,11.654
plut,fish,1,B,9,5,2,16,0,12.47,12.47
plut,fish,1,A,2,1,2,38,0,10.277,10.277
plut,fish,1,D,2,7,3,11,0,10.048,10.048
plut,fish,1,B,5,3,3,15,0,10.345,10.345
plut,fish,1,E,5,10,4,13,0,9.683,9.683
plut,fish,1,C,5,6,4,17,0,12.724,12.724
plut,fish,1,D,9,9,5,5,0,10.536,10.536
plut,fish,1,D,6,8,5,6,0,9.112,9.112
plut,fish,2,E,5,10,1,7,0,8.893,8.893
plut,fish,2,A,10,2,1,18,0,10.832,10.832
plut,fish,2,A,2,1,2,17,0,12.337,12.337
plut,fish,2,B,9,5,2,43,0,9.584,9.584
plut,fish,2,D,2,7,3,2,0,11.345,11.345
plut,fish,2,B,5,3,3,55,0,11.106,11.106
plut,fish,2,C,5,6,4,4,0,9.62,9.62
plut,fish,2,D,9,9,4,23,0,9.996,9.996
plut,fish,2,D,6,8,5,11,0,15.002,15.002
plut,fish,2,B,8,4,5,19,0,9.244,9.244
plut,fish,3,B,8,4,1,13,0,7.407,7.407
plut,fish,3,D,9,9,2,5,0,12.421,12.421
plut,fish,3,E,5,10,2,26,0,7.754,7.754
plut,fish,3,B,5,3,3,47,0,9.584,9.584
plut,fish,3,A,10,2,3,49,0,7.155,7.155
plut,fish,3,B,9,5,3,54,0,8.15,8.15
plut,fish,3,C,5,6,4,31,0,8.757,8.757
plut,fish,3,A,2,1,4,41,0,13.61,13.61
plut,fish,3,D,6,8,5,46,0,10.717,10.717
plut,fish,3,D,2,7,5,53,0,8.169,8.169
plut,fish,4,A,10,2,1,2,0,10.053,10.053
plut,fish,4,E,5,10,2,1,0,13.034,13.034
plut,fish,4,B,8,4,2,51,0,9.081,9.081
plut,fish,4,A,2,1,3,27,0,8.25,8.25
plut,fish,4,D,2,7,3,64,0,9.136,9.136
plut,fish,4,D,9,9,4,32,0,8.193,8.193
plut,fish,4,B,9,5,4,54,0,11.424,11.424
plut,fish,4,C,5,6,5,24,0,9.174,9.174
plut,fish,4,D,6,8,5,43,0,10.998,10.998
plut,fish,4,B,5,3,5,50,0,12.101,12.101
plut,livefeeds,1,D,6,8,1,9,0,9.952,9.952
plut,livefeeds,1,A,10,2,1,33,0,10.742,10.742
plut,livefeeds,1,D,2,7,2,10,0,6.764,6.764
plut,livefeeds,1,C,5,6,2,37,0,8.123,8.123
plut,livefeeds,1,E,5,10,3,7,0,9.231,9.231
plut,livefeeds,1,B,5,3,3,42,0,9.068,9.068
plut,livefeeds,1,D,9,9,4,21,0,7.969,7.969
plut,livefeeds,1,B,9,5,4,26,0,10.581,10.581
plut,livefeeds,1,B,8,4,5,9,0,8.545,8.545
plut,livefeeds,1,A,2,1,5,18,0,9.633,9.633
plut,livefeeds,2,A,10,2,1,12,0,9.438,9.438
plut,livefeeds,2,B,8,4,1,22,0,9.716,9.716
plut,livefeeds,2,D,6,8,2,8,0,9.07,9.07
plut,livefeeds,2,D,2,7,2,27,0,10.916,10.916
plut,livefeeds,2,B,5,3,3,13,0,8.009,8.009
plut,livefeeds,2,A,2,1,3,46,0,9.483,9.483
plut,livefeeds,2,B,9,5,4,11,0,12.88,12.88
plut,livefeeds,2,C,5,6,4,15,0,9.209,9.209
plut,livefeeds,2,D,9,9,5,1,0,9.32,9.32
plut,livefeeds,2,E,5,10,5,22,0,8.548,8.548
plut,livefeeds,3,B,8,4,1,14,0,7.939,7.939
plut,livefeeds,3,B,5,3,2,28,0,10.437,10.437
plut,livefeeds,3,D,6,8,2,36,0,7.028,7.028
plut,livefeeds,3,B,9,5,3,8,0,9.022,9.022
plut,livefeeds,3,D,2,7,3,14,0,8.8,8.8
plut,livefeeds,3,C,5,6,3,34,0,8.64,8.64
plut,livefeeds,3,E,5,10,4,39,0,15.639,15.639
plut,livefeeds,3,A,10,2,4,55,0,10.41,10.41
plut,livefeeds,3,D,9,9,5,27,0,9.554,9.554
plut,livefeeds,3,A,2,1,5,36,0,13.81,13.81
plut,livefeeds,4,A,10,2,1,30,0,7.576,7.576
plut,livefeeds,4,B,8,4,2,23,0,13.399,13.399
plut,livefeeds,4,B,5,3,2,47,0,13.38,13.38
plut,livefeeds,4,B,9,5,3,10,0,8.356,8.356
plut,livefeeds,4,D,2,7,3,19,0,8.761,8.761
plut,livefeeds,4,C,5,6,3,35,0,7.853,7.853
plut,livefeeds,4,A,2,1,4,50,0,9.448,9.448
plut,livefeeds,4,D,9,9,4,58,0,10.728,10.728
plut,livefeeds,4,E,5,10,5,38,0,7.847,7.847
plut,livefeeds,4,D,6,8,5,39,0,11.293,11.293
plut,mix,1,D,6,8,1,1,0,10.781,10.781
plut,mix,1,B,9,5,1,24,0,11.748,11.748
plut,mix,1,A,10,2,2,3,0,8.478,8.478
plut,mix,1,E,5,10,2,40,0,7.421,7.421
plut,mix,1,D,2,7,3,6,0,8.622,8.622
plut,mix,1,A,2,1,3,36,0,9.824,9.824
plut,mix,1,B,8,4,4,2,0,9.252,9.252
plut,mix,1,D,9,9,4,22,0,8.433,8.433
plut,mix,1,C,5,6,5,10,0,12.206,12.206
plut,mix,1,B,5,3,5,17,0,14.966,14.966
plut,mix,2,A,10,2,1,19,0,8.801,8.801
plut,mix,2,B,5,3,1,25,0,9.213,9.213
plut,mix,2,D,6,8,2,35,0,7.022,7.022
plut,mix,2,C,5,6,2,49,0,9.743,9.743
plut,mix,2,B,8,4,3,26,0,8.546,8.546
plut,mix,2,A,2,1,3,60,0,9.209,9.209
plut,mix,2,B,9,5,4,10,0,11.233,11.233
plut,mix,2,D,9,9,4,16,0,11.93,11.93
plut,mix,2,D,2,7,5,4,0,9.274,9.274
plut,mix,2,E,5,10,5,13,0,8.825,8.825
plut,mix,3,A,10,2,1,11,0,8.208,8.208
plut,mix,3,D,9,9,1,15,0,8.555,8.555
plut,mix,3,D,6,8,2,30,0,11.647,11.647
plut,mix,3,B,9,5,2,42,0,10.499,10.499
plut,mix,3,B,5,3,3,12,0,7.241,7.241
plut,mix,3,A,2,1,3,23,0,8.165,8.165
plut,mix,3,B,8,4,4,46,0,9.319,9.319
plut,mix,3,D,2,7,4,48,0,15.987,15.987
plut,mix,3,C,5,6,5,49,0,9.557,9.557
plut,mix,3,E,5,10,5,52,0,12.205,12.205
plut,mix,4,A,10,2,1,4,0,11.282,11.282
plut,mix,4,B,5,3,1,16,0,8.387,8.387
plut,mix,4,C,5,6,2,14,0,13.717,13.717
plut,mix,4,A,2,1,2,33,0,8.049,8.049
plut,mix,4,E,5,10,3,3,0,9.607,9.607
plut,mix,4,B,9,5,3,62,0,9.959,9.959
plut,mix,4,B,8,4,4,37,0,12.325,12.325
plut,mix,4,D,9,9,4,47,0,7.671,7.671
plut,mix,4,D,6,8,5,28,0,12.594,12.594
plut,mix,4,D,2,7,5,44,0,8.499,8.499
plut,pellets,1,E,5,10,1,23,0,9.412,9.412
plut,pellets,1,C,5,6,2,25,0,9.92,9.92
plut,pellets,1,D,2,7,2,50,0,9.687,9.687
plut,pellets,1,D,9,9,3,20,0,7.87,7.87
plut,pellets,1,D,6,8,3,28,0,9.005,9.005
plut,pellets,1,B,5,3,3,45,0,9.652,9.652
plut,pellets,1,A,10,2,4,27,0,12.221,12.221
plut,pellets,1,B,8,4,4,33,0,17.104,17.104
plut,pellets,1,B,9,5,5,32,0,10.351,10.351
plut,pellets,1,A,2,1,5,40,0,9.356,9.356
plut,pellets,2,A,10,2,1,21,0,8.914,8.914
plut,pellets,2,D,9,9,2,7,0,8.029,8.029
plut,pellets,2,A,2,1,2,12,0,10.711,10.711
plut,pellets,2,D,6,8,2,41,0,10.162,10.162
plut,pellets,2,B,9,5,3,33,0,8.714,8.714
plut,pellets,2,D,2,7,3,48,0,8.598,8.598
plut,pellets,2,E,5,10,4,51,0,8.108,8.108
plut,pellets,2,B,8,4,4,59,0,10.3,10.3
plut,pellets,2,C,5,6,5,30,0,10.393,10.393
plut,pellets,2,B,5,3,5,45,0,10.11,10.11
plut,pellets,3,A,10,2,1,27,0,8.325,8.325
plut,pellets,3,D,6,8,2,6,0,8.958,8.958
plut,pellets,3,D,2,7,2,11,0,10.289,10.289
plut,pellets,3,A,2,1,3,31,0,10.122,10.122
plut,pellets,3,C,5,6,3,58,0,8.152,8.152
plut,pellets,3,D,9,9,4,30,0,10.499,10.499
plut,pellets,3,B,9,5,4,57,0,10.232,10.232
plut,pellets,3,E,5,10,5,42,0,8.602,8.602
plut,pellets,3,B,5,3,5,47,0,13.74,13.74
plut,pellets,3,B,8,4,5,48,0,11.165,11.165
plut,pellets,4,D,9,9,1,29,0,12.739,12.739
plut,pellets,4,B,5,3,2,2,0,10.195,10.195
plut,pellets,4,E,5,10,2,32,0,11.106,11.106
plut,pellets,4,D,2,7,3,5,0,9.475,9.475
plut,pellets,4,A,10,2,3,40,0,12.507,12.507
plut,pellets,4,D,6,8,3,41,0,9.838,9.838
plut,pellets,4,B,8,4,4,49,0,8.295,8.295
plut,pellets,4,B,9,5,4,52,0,7.894,7.894
plut,pellets,4,C,5,6,5,31,0,9.661,9.661
plut,pellets,4,A,2,1,5,41,0,7.786,7.786
pver,control,1,C,9,5,1,24,0,6.092,6.092
pver,control,1,B,2,3,2,41,0,9.37,9.37
pver,control,1,D,7,6,2,49,0,8.799,8.799
pver,control,1,E,4,8,3,60,0,7.498,7.498
pver,control,1,E,9,10,3,61,0,7.689,7.689
pver,control,1,A,4,1,4,44,0,9.898,9.898
pver,control,1,E,1,7,4,45,0,13.937,13.937
pver,control,1,A,6,2,4,50,0,8.912,8.912
pver,control,1,E,8,9,5,28,0,8.206,8.206
pver,control,1,B,10,4,5,29,0,10.281,10.281
pver,control,2,C,9,5,1,3,0,6.046,6.046
pver,control,2,E,8,9,2,14,0,7.283,7.283
pver,control,2,B,10,4,2,21,0,9.8,9.8
pver,control,2,E,9,10,3,26,0,6.68,6.68
pver,control,2,A,6,2,3,34,0,5.233,5.233
pver,control,2,D,7,6,3,41,0,7.461,7.461
pver,control,2,A,4,1,4,23,0,7.462,7.462
pver,control,2,E,4,8,4,24,0,5.678,5.678
pver,control,2,E,1,7,5,31,0,7.542,7.542
pver,control,2,B,2,3,5,38,0,8.539,8.539
pver,control,3,D,7,6,1,4,0,6.559,6.559
pver,control,3,B,10,4,1,36,0,5.783,5.783
pver,control,3,C,9,5,2,13,0,8.224,8.224
pver,control,3,E,9,10,2,23,0,12.942,12.942
pver,control,3,B,2,3,3,11,0,7.879,7.879
pver,control,3,E,1,7,3,12,0,8.971,8.971
pver,control,3,A,6,2,4,33,0,7.951,7.951
pver,control,3,E,8,9,4,34,0,9.075,9.075
pver,control,3,E,4,8,5,39,0,5.955,5.955
pver,control,3,A,4,1,5,40,0,6.79,6.79
pver,control,4,D,7,6,1,29,0,8.439,8.439
pver,control,4,C,9,5,1,37,0,4.409,4.409
pver,control,4,A,6,2,2,12,0,8.348,8.348
pver,control,4,E,9,10,2,28,0,12.445,12.445
pver,control,4,B,10,4,3,7,0,12.993,12.993
pver,control,4,E,4,8,3,21,0,12.39,12.39
pver,control,4,E,8,9,4,7,0,9.845,9.845
pver,control,4,B,2,3,4,37,0,8.175,8.175
pver,control,4,A,4,1,5,7,0,14.974,14.974
pver,control,4,E,1,7,5,18,0,10.275,10.275
pver,dissolved,1,E,9,10,1,21,0,6.855,6.855
pver,dissolved,1,A,6,2,2,38,0,11.071,11.071
pver,dissolved,1,E,4,8,2,46,0,10.713,10.713
pver,dissolved,1,B,2,3,3,23,0,7.589,7.589
pver,dissolved,1,E,8,9,3,35,0,9.594,9.594
pver,dissolved,1,D,7,6,4,35,0,5.939,5.939
pver,dissolved,1,C,9,5,4,40,0,6.092,6.092
pver,dissolved,1,E,1,7,4,43,0,8.819,8.819
pver,dissolved,1,A,4,1,5,9,0,8.762,8.762
pver,dissolved,1,B,10,4,5,45,0,11.332,11.332
pver,dissolved,2,C,9,5,1,6,0,6.551,6.551
pver,dissolved,2,B,10,4,1,18,0,6.282,6.282
pver,dissolved,2,D,7,6,2,30,0,7.925,7.925
pver,dissolved,2,E,9,10,2,31,0,7.587,7.587
pver,dissolved,2,A,6,2,3,10,0,8.238,8.238
pver,dissolved,2,E,8,9,3,25,0,9.588,9.588
pver,dissolved,2,E,4,8,4,19,0,7.981,7.981
pver,dissolved,2,B,2,3,4,20,0,10.223,10.223
pver,dissolved,2,E,1,7,5,2,0,11.656,11.656
pver,dissolved,2,A,4,1,5,15,0,12.478,12.478
pver,dissolved,3,E,4,8,1,7,0,8.966,8.966
pver,dissolved,3,B,2,3,1,28,0,5.195,5.195
pver,dissolved,3,E,8,9,2,45,0,9.912,9.912
pver,dissolved,3,A,6,2,2,51,0,7.454,7.454
pver,dissolved,3,C,9,5,3,31,0,7.358,7.358
pver,dissolved,3,B,10,4,3,32,0,7.834,7.834
pver,dissolved,3,D,7,6,4,12,0,8.311,8.311
pver,dissolved,3,E,9,10,4,32,0,7.828,7.828
pver,dissolved,3,A,4,1,5,4,0,11.662,11.662
pver,dissolved,3,E,1,7,5,10,0,10.457,10.457
pver,dissolved,4,E,8,9,1,1,0,7.951,7.951
pver,dissolved,4,B,10,4,1,25,0,6.315,6.315
pver,dissolved,4,A,6,2,2,25,0,9.966,9.966
pver,dissolved,4,B,2,3,2,36,0,10.457,10.457
pver,dissolved,4,E,1,7,3,6,0,14.426,14.426
pver,dissolved,4,D,7,6,3,40,0,9.453,9.453
pver,dissolved,4,E,9,10,4,2,0,12.244,12.244
pver,dissolved,4,E,4,8,4,28,0,5.817,5.817
pver,dissolved,4,A,4,1,5,12,0,8.864,8.864
pver,dissolved,4,C,9,5,5,14,0,7.402,7.402
pver,fish,1,B,10,4,1,15,0,7.138,7.138
pver,fish,1,C,9,5,1,20,0,6.043,6.043
pver,fish,1,A,6,2,2,42,0,6.776,6.776
pver,fish,1,E,4,8,2,43,0,7.245,7.245
pver,fish,1,B,2,3,2,50,0,7.966,7.966
pver,fish,1,E,1,7,3,57,0,6.309,6.309
pver,fish,1,E,9,10,3,58,0,5.915,5.915
pver,fish,1,E,8,9,4,47,0,5.179,5.179
pver,fish,1,D,7,6,4,48,0,9.162,9.162
pver,fish,1,A,4,1,5,56,0,3.743,3.743
pver,fish,2,C,9,5,1,5,0,6.145,6.145
pver,fish,2,E,8,9,2,9,0,7.28,7.28
pver,fish,2,E,1,7,2,15,0,10.65,10.65
pver,fish,2,E,9,10,3,22,0,9.255,9.255
pver,fish,2,D,7,6,3,27,0,9.41,9.41
pver,fish,2,B,2,3,3,28,0,10.904,10.904
pver,fish,2,B,10,4,4,10,0,6.692,6.692
pver,fish,2,A,6,2,4,22,0,7.299,7.299
pver,fish,2,A,4,1,5,3,0,10.731,10.731
pver,fish,2,E,4,8,5,11,0,6.167,6.167
pver,fish,3,C,9,5,1,16,0,9.002,9.002
pver,fish,3,D,7,6,1,32,0,4.414,4.414
pver,fish,3,A,4,1,2,7,0,11.491,11.491
pver,fish,3,E,1,7,2,29,0,10.767,10.767
pver,fish,3,B,10,4,3,3,0,10.035,10.035
pver,fish,3,E,8,9,3,4,0,8.897,8.897
pver,fish,3,B,2,3,4,6,0,9.635,9.635
pver,fish,3,E,9,10,4,9,0,8.685,8.685
pver,fish,3,A,6,2,5,27,0,11.409,11.409
pver,fish,3,E,4,8,5,36,0,6.256,6.256
pver,fish,4,A,6,2,1,30,0,10.128,10.128
pver,fish,4,B,10,4,1,39,0,6.577,6.577
pver,fish,4,C,9,5,2,20,0,11.896,11.896
pver,fish,4,E,9,10,2,27,0,6.676,6.676
pver,fish,4,D,7,6,3,42,0,10.57,10.57
pver,fish,4,E,4,8,3,44,0,10.674,10.674
pver,fish,4,E,8,9,4,8,0,10.529,10.529
pver,fish,4,E,1,7,4,25,0,11.161,11.161
pver,fish,4,A,4,1,5,24,0,6.549,6.549
pver,fish,4,B,2,3,5,43,0,12.508,12.508
pver,livefeeds,1,C,9,5,1,35,0,7.988,7.988
pver,livefeeds,1,A,6,2,2,1,0,10.951,10.951
pver,livefeeds,1,E,8,9,2,22,0,6.583,6.583
pver,livefeeds,1,E,9,10,2,35,0,8.725,8.725
pver,livefeeds,1,A,4,1,3,15,0,8.787,8.787
pver,livefeeds,1,B,10,4,3,16,0,7.183,7.183
pver,livefeeds,1,E,1,7,4,27,0,5.31,5.31
pver,livefeeds,1,D,7,6,4,41,0,7.769,7.769
pver,livefeeds,1,B,2,3,5,1,0,13.948,13.948
pver,livefeeds,1,E,4,8,5,32,0,5.959,5.959
pver,livefeeds,2,D,7,6,1,2,0,5.742,5.742
pver,livefeeds,2,E,8,9,1,11,0,4.778,4.778
pver,livefeeds,2,A,4,1,2,8,0,8.295,8.295
pver,livefeeds,2,A,6,2,2,16,0,16.222,16.222
pver,livefeeds,2,E,4,8,3,20,0,7.492,7.492
pver,livefeeds,2,B,2,3,3,38,0,6.227,6.227
pver,livefeeds,2,E,1,7,4,21,0,10.097,10.097
pver,livefeeds,2,C,9,5,4,42,0,7.882,7.882
pver,livefeeds,2,B,10,4,5,33,0,5.611,5.611
pver,livefeeds,2,E,9,10,5,34,0,7.008,7.008
pver,livefeeds,3,A,6,2,1,13,0,6.915,6.915
pver,livefeeds,3,D,7,6,1,19,0,10.999,10.999
pver,livefeeds,3,E,4,8,2,4,0,8.424,8.424
pver,livefeeds,3,B,2,3,2,32,0,9.944,9.944
pver,livefeeds,3,E,8,9,3,1,0,11.038,11.038
pver,livefeeds,3,E,9,10,3,8,0,10.31,10.31
pver,livefeeds,3,E,1,7,4,13,0,8.229,8.229
pver,livefeeds,3,A,4,1,4,39,0,12.728,12.728
pver,livefeeds,3,C,9,5,5,21,0,12.104,12.104
pver,livefeeds,3,B,10,4,5,22,0,8.157,8.157
pver,livefeeds,4,E,8,9,1,33,0,11.226,11.226
pver,livefeeds,4,D,7,6,1,40,0,7.976,7.976
pver,livefeeds,4,A,6,2,2,18,0,9.591,9.591
pver,livefeeds,4,E,4,8,2,19,0,6.612,6.612
pver,livefeeds,4,E,9,10,3,39,0,7.412,7.412
pver,livefeeds,4,B,2,3,3,43,0,13.42,13.42
pver,livefeeds,4,C,9,5,4,4,0,10.666,10.666
pver,livefeeds,4,B,10,4,4,16,0,10.982,10.982
pver,livefeeds,4,A,4,1,5,13,0,9.044,9.044
pver,livefeeds,4,E,1,7,5,19,0,7.646,7.646
pver,mix,1,E,9,10,1,34,0,5.192,5.192
pver,mix,1,A,4,1,2,40,0,9.604,9.604
pver,mix,1,B,2,3,2,47,0,8.377,8.377
pver,mix,1,E,1,7,3,55,0,6.778,6.778
pver,mix,1,E,8,9,3,56,0,5.592,5.592
pver,mix,1,B,10,4,3,59,0,6.245,6.245
pver,mix,1,A,6,2,4,46,0,11.99,11.99
pver,mix,1,D,7,6,4,49,0,6.981,6.981
pver,mix,1,E,4,8,5,44,0,9.474,9.474
pver,mix,1,C,9,5,5,57,0,4.32,4.32
pver,mix,2,E,9,10,1,22,0,6.697,6.697
pver,mix,2,B,10,4,2,37,0,6.691,6.691
pver,mix,2,E,1,7,2,44,0,11.358,11.358
pver,mix,2,B,2,3,2,48,0,7.826,7.826
pver,mix,2,E,4,8,3,19,0,8.787,8.787
pver,mix,2,A,6,2,3,24,0,9.36,9.36
pver,mix,2,A,4,1,4,29,0,6.262,6.262
pver,mix,2,D,7,6,4,30,0,11.26,11.26
pver,mix,2,C,9,5,5,30,0,6.984,6.984
pver,mix,2,E,8,9,5,35,0,10.626,10.626
pver,mix,3,C,9,5,1,9,0,9.361,9.361
pver,mix,3,E,8,9,1,14,0,7.813,7.813
pver,mix,3,E,4,8,2,3,0,12.625,12.625
pver,mix,3,B,10,4,2,10,0,9.023,9.023
pver,mix,3,E,9,10,3,13,0,12.38,12.38
pver,mix,3,D,7,6,3,33,0,6.02,6.02
pver,mix,3,E,1,7,4,5,0,9.155,9.155
pver,mix,3,A,4,1,4,18,0,8.149,8.149
pver,mix,3,B,2,3,5,16,0,6.509,6.509
pver,mix,3,A,6,2,5,41,0,10.545,10.545
pver,mix,4,B,10,4,1,12,0,9.821,9.821
pver,mix,4,C,9,5,1,17,0,5.267,5.267
pver,mix,4,A,6,2,2,2,0,7.317,7.317
pver,mix,4,D,7,6,2,39,0,16.691,16.691
pver,mix,4,E,9,10,3,9,0,7.609,7.609
pver,mix,4,E,4,8,3,14,0,14.445,14.445
pver,mix,4,E,1,7,4,11,0,10.141,10.141
pver,mix,4,B,2,3,4,26,0,6.002,6.002
pver,mix,4,A,4,1,5,37,0,6.704,6.704
pver,mix,4,E,8,9,5,42,0,12.189,12.189
pver,pellets,1,C,9,5,1,8,0,8.627,8.627
pver,pellets,1,A,6,2,1,26,0,5.455,5.455
pver,pellets,1,D,7,6,2,17,0,6.65,6.65
pver,pellets,1,E,4,8,2,34,0,12.653,12.653
pver,pellets,1,E,9,10,3,2,0,12.986,12.986
pver,pellets,1,E,1,7,3,18,0,6.442,6.442
pver,pellets,1,B,10,4,4,17,0,5.532,5.532
pver,pellets,1,B,2,3,4,38,0,9.383,9.383
pver,pellets,1,E,8,9,5,17,0,6.872,6.872
pver,pellets,1,A,4,1,5,20,0,11.478,11.478
pver,pellets,2,A,6,2,1,10,0,9.944,9.944
pver,pellets,2,D,7,6,1,38,0,5.064,5.064
pver,pellets,2,B,2,3,2,5,0,9.821,9.821
pver,pellets,2,E,1,7,2,24,0,16.727,16.727
pver,pellets,2,B,10,4,3,30,0,6.87,6.87
pver,pellets,2,E,8,9,3,36,0,9.368,9.368
pver,pellets,2,E,4,8,4,1,0,12.987,12.987
pver,pellets,2,E,9,10,4,36,0,6.359,6.359
pver,pellets,2,A,4,1,5,5,0,11.262,11.262
pver,pellets,2,C,9,5,5,23,0,4.538,4.538
pver,pellets,3,E,9,10,1,27,0,12.752,12.752
pver,pellets,3,C,9,5,1,31,0,4.624,4.624
pver,pellets,3,E,8,9,2,11,0,8.313,8.313
pver,pellets,3,E,1,7,2,33,0,7.065,7.065
pver,pellets,3,A,6,2,3,5,0,13.087,13.087
pver,pellets,3,E,4,8,3,29,0,9.704,9.704
pver,pellets,3,D,7,6,4,14,0,7.474,7.474
pver,pellets,3,B,10,4,4,31,0,9.318,9.318
pver,pellets,3,B,2,3,5,8,0,9.959,9.959
pver,pellets,3,A,4,1,5,26,0,11.77,11.77
pver,pellets,4,C,9,5,1,23,0,8.457,8.457
pver,pellets,4,E,8,9,1,50,0,4.614,4.614
pver,pellets,4,B,10,4,2,6,0,12.897,12.897
pver,pellets,4,A,6,2,2,26,0,6.132,6.132
