treatment,replicate,row,column,species,sp_rep,genotype,fragment,surv_time,dead
fish,4,C,5,plut,6,5,24,92,0
fish,4,D,2,plut,7,3,64,92,0
fish,4,D,6,plut,8,5,43,92,0
fish,4,D,9,plut,9,4,32,92,0
fish,4,E,5,plut,10,2,1,92,0
livefeeds,1,A,2,plut,1,5,18,92,0
livefeeds,1,A,10,plut,2,1,33,92,0
livefeeds,1,B,5,plut,3,3,42,92,0
livefeeds,1,B,8,plut,4,5,9,92,0
livefeeds,1,B,9,plut,5,4,26,92,0
livefeeds,1,C,5,plut,6,2,37,92,0
livefeeds,1,D,2,plut,7,2,10,92,0
livefeeds,1,D,6,plut,8,1,9,92,0
livefeeds,1,D,9,plut,9,4,21,92,0
livefeeds,1,E,5,plut,10,3,7,92,0
livefeeds,2,A,2,plut,1,3,46,92,0
livefeeds,2,A,10,plut,2,1,12,92,0
livefeeds,2,B,5,plut,3,3,13,92,0
livefeeds,2,B,8,plut,4,1,22,92,0
livefeeds,2,B,9,plut,5,4,11,92,0
livefeeds,2,C,5,plut,6,4,15,92,0
livefeeds,2,D,2,plut,7,2,27,92,0
livefeeds,2,D,6,plut,8,2,8,92,0
livefeeds,2,D,9,plut,9,5,1,92,0
livefeeds,2,E,5,plut,10,5,22,92,0
livefeeds,3,A,2,plut,1,5,36,92,0
livefeeds,3,A,10,plut,2,4,55,92,0
livefeeds,3,B,5,plut,3,2,28,92,0
livefeeds,3,B,8,plut,4,1,14,92,0
livefeeds,3,B,9,plut,5,3,8,92,0
livefeeds,3,C,5,plut,6,3,34,92,0
livefeeds,3,D,2,plut,7,3,14,92,0
livefeeds,3,D,6,plut,8,2,36,92,0
livefeeds,3,D,9,plut,9,5,27,92,0
livefeeds,3,E,5,plut,10,4,39,92,0
livefeeds,4,A,2,plut,1,4,50,92,0
livefeeds,4,A,10,plut,2,1,30,92,0
livefeeds,4,B,5,plut,3,2,47,92,0
livefeeds,4,B,8,plut,4,2,23,92,0
livefeeds,4,B,9,plut,5,3,10,92,0
livefeeds,4,C,5,plut,6,3,35,92,0
livefeeds,4,D,2,plut,7,3,19,92,0
livefeeds,4,D,6,plut,8,5,39,92,0
livefeeds,4,D,9,plut,9,4,58,92,0
livefeeds,4,E,5,plut,10,5,38,92,0
mix,1,A,2,plut,1,3,36,92,0
mix,1,A,10,plut,2,2,3,92,0
mix,1,B,5,plut,3,5,17,92,0
mix,1,B,8,plut,4,4,2,92,0
mix,1,B,9,plut,5,1,24,92,0
mix,1,C,5,plut,6,5,10,92,0
mix,1,D,2,plut,7,3,6,92,0
mix,1,D,6,plut,8,1,1,92,0
mix,1,D,9,plut,9,4,22,92,0
mix,1,E,5,plut,10,2,40,92,0
mix,2,A,2,plut,1,3,60,92,0
mix,2,A,10,plut,2,1,19,92,0
mix,2,B,5,plut,3,1,25,92,0
mix,2,B,8,plut,4,3,26,92,0
mix,2,B,9,plut,5,4,10,92,0
mix,2,C,5,plut,6,2,49,92,0
mix,2,D,2,plut,7,5,4,92,0
mix,2,D,6,plut,8,2,35,92,0
mix,2,D,9,plut,9,4,16,92,0
mix,2,E,5,plut,10,5,13,92,0
mix,3,A,2,plut,1,3,23,92,0
mix,3,A,10,plut,2,1,11,92,0
mix,3,B,5,plut,3,3,12,92,0
mix,3,B,8,plut,4,4,46,92,0
mix,3,B,9,plut,5,2,42,92,0
mix,3,C,5,plut,6,5,49,82,1
mix,3,D,2,plut,7,4,48,92,0
mix,3,D,6,plut,8,2,30,92,0
mix,3,D,9,plut,9,1,15,92,0
mix,3,E,5,plut,10,5,52,92,0
mix,4,A,2,plut,1,2,33,92,0
mix,4,A,10,plut,2,1,4,92,0
mix,4,B,5,plut,3,1,16,92,0
mix,4,B,8,plut,4,4,37,92,0
mix,4,B,9,plut,5,3,62,92,0
mix,4,C,5,plut,6,2,14,92,0
mix,4,D,2,plut,7,5,44,92,0
mix,4,D,6,plut,8,5,28,92,0
mix,4,D,9,plut,9,4,47,92,0
mix,4,E,5,plut,10,3,3,92,0
pellets,1,A,2,plut,1,5,40,92,0
pellets,1,A,10,plut,2,4,27,92,0
pellets,1,B,5,plut,3,3,45,92,0
pellets,1,B,8,plut,4,4,33,92,0
pellets,1,B,9,plut,5,5,32,92,0
pellets,1,C,5,plut,6,2,25,92,0
pellets,1,D,2,plut,7,2,50,92,0
pellets,1,D,6,plut,8,3,28,92,0
pellets,1,D,9,plut,9,3,20,92,0
pellets,1,E,5,plut,10,1,23,92,0
pellets,2,A,2,plut,1,2,12,92,0
pellets,2,A,10,plut,2,1,21,92,0
pellets,2,B,5,plut,3,5,45,92,0
pellets,2,B,8,plut,4,4,59,92,0
pellets,2,B,9,plut,5,3,33,92,0
pellets,2,C,5,plut,6,5,30,92,0
pellets,2,D,2,plut,7,3,48,92,0
pellets,2,D,6,plut,8,2,41,92,0
pellets,2,D,9,plut,9,2,7,92,0
pellets,2,E,5,plut,10,4,51,92,0
pellets,3,A,2,plut,1,3,31,92,0
pellets,3,A,10,plut,2,1,27,92,0
pellets,3,B,5,plut,3,5,47,92,0
pellets,3,B,8,plut,4,5,48,92,0
pellets,3,B,9,plut,5,4,57,92,0
pellets,3,C,5,plut,6,3,58,92,0
pellets,3,D,2,plut,7,2,11,92,0
pellets,3,D,6,plut,8,2,6,92,0
pellets,3,D,9,plut,9,4,30,92,0
pellets,3,E,5,plut,10,5,42,92,0
pellets,4,A,2,plut,1,5,41,92,0
pellets,4,A,10,plut,2,3,40,92,0
pellets,4,B,5,plut,3,2,2,92,0
pellets,4,B,8,plut,4,4,49,92,0
pellets,4,B,9,plut,5,4,52,92,0
pellets,4,C,5,plut,6,5,31,92,0
pellets,4,D,2,plut,7,3,5,92,0
pellets,4,D,6,plut,8,3,41,92,0
pellets,4,D,9,plut,9,1,29,92,0
pellets,4,E,5,plut,10,2,32,92,0
control,1,A,4,pver,1,4,44,92,0
control,1,A,6,pver,2,4,50,92,0
control,1,B,2,pver,3,2,41,92,0
control,1,B,10,pver,4,5,29,92,0
control,1,C,9,pver,5,1,24,92,0
control,1,D,7,pver,6,2,49,92,0
control,1,E,1,pver,7,4,45,92,0
control,1,E,4,pver,8,3,60,92,0
control,1,E,8,pver,9,5,28,92,0
control,1,E,9,pver,10,3,61,92,0
control,2,A,4,pver,1,4,23,92,0
control,2,A,6,pver,2,3,34,92,0
control,2,B,2,pver,3,5,38,92,0
control,2,B,10,pver,4,2,21,92,0
control,2,C,9,pver,5,1,3,92,0
control,2,D,7,pver,6,3,41,92,0
control,2,E,1,pver,7,5,31,92,0
control,2,E,4,pver,8,4,24,92,0
control,2,E,8,pver,9,2,14,92,0
control,2,E,9,pver,10,3,26,92,0
control,3,A,4,pver,1,5,40,92,0
control,3,A,6,pver,2,4,33,92,0
control,3,B,2,pver,3,3,11,92,0
control,3,B,10,pver,4,1,36,92,0
control,3,C,9,pver,5,2,13,92,0
control,3,D,7,pver,6,1,4,92,0
control,3,E,1,pver,7,3,12,92,0
control,3,E,4,pver,8,5,39,92,0
control,3,E,8,pver,9,4,34,92,0
control,3,E,9,pver,10,2,23,92,0
control,4,A,4,pver,1,5,7,92,0
control,4,A,6,pver,2,2,12,92,0
control,4,B,2,pver,3,4,37,92,0
control,4,B,10,pver,4,3,7,92,0
control,4,C,9,pver,5,1,37,92,0
control,4,D,7,pver,6,1,29,92,0
control,4,E,1,pver,7,5,18,92,0
control,4,E,4,pver,8,3,21,92,0
control,4,E,8,pver,9,4,7,92,0
control,4,E,9,pver,10,2,28,92,0
dissolved,1,A,4,pver,1,5,9,92,0
dissolved,1,A,6,pver,2,2,38,92,0
dissolved,1,B,2,pver,3,3,23,92,0
dissolved,1,B,10,pver,4,5,45,92,0
dissolved,1,C,9,pver,5,4,40,92,0
dissolved,1,D,7,pver,6,4,35,92,0
dissolved,1,E,1,pver,7,4,43,92,0
dissolved,1,E,4,pver,8,2,46,92,0
dissolved,1,E,8,pver,9,3,35,92,0
dissolved,1,E,9,pver,10,1,21,92,0
dissolved,2,A,4,pver,1,5,15,92,0
dissolved,2,A,6,pver,2,3,10,92,0
dissolved,2,B,2,pver,3,4,20,92,0
dissolved,2,B,10,pver,4,1,18,92,0
dissolved,2,C,9,pver,5,1,6,92,0
dissolved,2,D,7,pver,6,2,30,92,0
dissolved,2,E,1,pver,7,5,2,92,0
dissolved,2,E,4,pver,8,4,19,92,0
dissolved,2,E,8,pver,9,3,25,92,0
dissolved,2,E,9,pver,10,2,31,92,0
dissolved,3,A,4,pver,1,5,4,92,0
dissolved,3,A,6,pver,2,2,51,92,0
dissolved,3,B,2,pver,3,1,28,92,0
dissolved,3,B,10,pver,4,3,32,92,0
dissolved,3,C,9,pver,5,3,31,92,0
dissolved,3,D,7,pver,6,4,12,92,0
dissolved,3,E,1,pver,7,5,10,92,0
dissolved,3,E,4,pver,8,1,7,92,0
dissolved,3,E,8,pver,9,2,45,92,0
dissolved,3,E,9,pver,10,4,32,92,0
dissolved,4,A,4,pver,1,5,12,92,0
dissolved,4,A,6,pver,2,2,25,92,0
dissolved,4,B,2,pver,3,2,36,92,0
dissolved,4,B,10,pver,4,1,25,92,0
dissolved,4,C,9,pver,5,5,14,92,0
dissolved,4,D,7,pver,6,3,40,92,0
dissolved,4,E,1,pver,7,3,6,92,0
dissolved,4,E,4,pver,8,4,28,92,0
dissolved,4,E,8,pver,9,1,1,92,0
dissolved,4,E,9,pver,10,4,2,92,0
fish,1,A,4,pver,1,5,56,92,0
fish,1,A,6,pver,2,2,42,92,0
fish,1,B,2,pver,3,2,50,92,0
fish,1,B,10,pver,4,1,15,92,0
fish,1,C,9,pver,5,1,20,92,0
fish,1,D,7,pver,6,4,48,92,0
fish,1,E,1,pver,7,3,57,92,0
fish,1,E,4,pver,8,2,43,92,0
fish,1,E,8,pver,9,4,47,92,0
fish,1,E,9,pver,10,3,58,92,0
fish,2,A,4,pver,1,5,3,92,0
fish,2,A,6,pver,2,4,22,92,0
fish,2,B,2,pver,3,3,28,92,0
fish,2,B,10,pver,4,4,10,92,0
fish,2,C,9,pver,5,1,5,92,0
fish,2,D,7,pver,6,3,27,92,0
fish,2,E,1,pver,7,2,15,92,0
fish,2,E,4,pver,8,5,11,92,0
fish,2,E,8,pver,9,2,9,92,0
fish,2,E,9,pver,10,3,22,92,0
fish,3,A,4,pver,1,2,7,92,0
fish,3,A,6,pver,2,5,27,92,0
fish,3,B,2,pver,3,4,6,92,0
fish,3,B,10,pver,4,3,3,92,0
fish,3,C,9,pver,5,1,16,92,0
fish,3,D,7,pver,6,1,32,92,0
fish,3,E,1,pver,7,2,29,92,0
fish,3,E,4,pver,8,5,36,92,0
fish,3,E,8,pver,9,3,4,92,0
fish,3,E,9,pver,10,4,9,92,0
fish,4,A,4,pver,1,5,24,92,0
fish,4,A,6,pver,2,1,30,92,0
fish,4,B,2,pver,3,5,43,92,0
fish,4,B,10,pver,4,1,39,92,0
fish,4,C,9,pver,5,2,20,92,0
fish,4,D,7,pver,6,3,42,92,0
fish,4,E,1,pver,7,4,25,92,0
fish,4,E,4,pver,8,3,44,92,0
fish,4,E,8,pver,9,4,8,92,0
fish,4,E,9,pver,10,2,27,92,0
livefeeds,1,A,4,pver,1,3,15,92,0
livefeeds,1,A,6,pver,2,2,1,92,0
livefeeds,1,B,2,pver,3,5,1,92,0
livefeeds,1,B,10,pver,4,3,16,92,0
livefeeds,1,C,9,pver,5,1,35,92,0
livefeeds,1,D,7,pver,6,4,41,92,0
livefeeds,1,E,1,pver,7,4,27,92,0
livefeeds,1,E,4,pver,8,5,32,92,0
livefeeds,1,E,8,pver,9,2,22,92,0
livefeeds,1,E,9,pver,10,2,35,92,0
livefeeds,2,A,4,pver,1,2,8,92,0
livefeeds,2,A,6,pver,2,2,16,92,0
livefeeds,2,B,2,pver,3,3,38,92,0
livefeeds,2,B,10,pver,4,5,33,92,0
livefeeds,2,C,9,pver,5,4,42,92,0
livefeeds,2,D,7,pver,6,1,2,92,0
livefeeds,2,E,1,pver,7,4,21,92,0
livefeeds,2,E,4,pver,8,3,20,92,0
livefeeds,2,E,8,pver,9,1,11,92,0
livefeeds,2,E,9,pver,10,5,34,92,0
livefeeds,3,A,4,pver,1,4,39,92,0
livefeeds,3,A,6,pver,2,1,13,92,0
livefeeds,3,B,2,pver,3,2,32,92,0
livefeeds,3,B,10,pver,4,5,22,92,0
livefeeds,3,C,9,pver,5,5,21,92,0
livefeeds,3,D,7,pver,6,1,19,92,0
livefeeds,3,E,1,pver,7,4,13,92,0
livefeeds,3,E,4,pver,8,2,4,92,0
livefeeds,3,E,8,pver,9,3,1,92,0
livefeeds,3,E,9,pver,10,3,8,92,0
livefeeds,4,A,4,pver,1,5,13,92,0
livefeeds,4,A,6,pver,2,2,18,92,0
livefeeds,4,B,2,pver,3,3,43,92,0
livefeeds,4,B,10,pver,4,4,16,92,0
livefeeds,4,C,9,pver,5,4,4,92,0
livefeeds,4,D,7,pver,6,1,40,92,0
livefeeds,4,E,1,pver,7,5,19,92,0
livefeeds,4,E,4,pver,8,2,19,92,0
livefeeds,4,E,8,pver,9,1,33,92,0
livefeeds,4,E,9,pver,10,3,39,92,0
mix,1,A,4,pver,1,2,40,92,0
mix,1,A,6,pver,2,4,46,92,0
mix,1,B,2,pver,3,2,47,92,0
mix,1,B,10,pver,4,3,59,92,0
mix,1,C,9,pver,5,5,51,92,0
mix,1,D,7,pver,6,4,49,92,0
mix,1,E,1,pver,7,3,55,92,0
mix,1,E,4,pver,8,5,44,92,0
mix,1,E,8,pver,9,3,56,92,0
mix,1,E,9,pver,10,1,34,92,0
mix,2,A,4,pver,1,4,29,92,0
mix,2,A,6,pver,2,3,24,92,0
mix,2,B,2,pver,3,2,48,92,0
mix,2,B,10,pver,4,2,37,92,0
mix,2,C,9,pver,5,5,30,92,0
mix,2,D,7,pver,6,4,30,92,0
mix,2,E,1,pver,7,2,44,92,0
mix,2,E,4,pver,8,3,19,92,0
mix,2,E,8,pver,9,5,35,92,0
mix,2,E,9,pver,10,1,22,92,0
mix,3,A,4,pver,1,4,18,92,0
mix,3,A,6,pver,2,5,41,92,0
mix,3,B,2,pver,3,5,16,92,0
mix,3,B,10,pver,4,2,10,92,0
mix,3,C,9,pver,5,1,9,92,0
mix,3,D,7,pver,6,3,33,92,0
mix,3,E,1,pver,7,4,5,92,0
mix,3,E,4,pver,8,2,3,92,0
mix,3,E,8,pver,9,1,14,92,0
mix,3,E,9,pver,10,3,13,92,0
mix,4,A,4,pver,1,5,37,92,0
mix,4,A,6,pver,2,2,2,92,0
mix,4,B,2,pver,3,4,26,92,0
mix,4,B,10,pver,4,1,12,92,0
mix,4,C,9,pver,5,1,17,92,0
mix,4,D,7,pver,6,2,39,92,0
mix,4,E,1,pver,7,4,11,92,0
mix,4,E,4,pver,8,3,14,92,0
mix,4,E,8,pver,9,5,42,92,0
mix,4,E,9,pver,10,3,9,92,0
pellets,1,A,4,pver,1,5,20,92,0
pellets,1,A,6,pver,2,1,26,92,0
pellets,1,B,2,pver,3,4,38,92,0
pellets,1,B,10,pver,4,4,17,92,0
pellets,1,C,9,pver,5,1,8,92,0
pellets,1,D,7,pver,6,2,17,92,0
pellets,1,E,1,pver,7,3,18,92,0
pellets,1,E,4,pver,8,2,34,92,0
pellets,1,E,8,pver,9,5,17,92,0
pellets,1,E,9,pver,10,3,2,92,0
pellets,2,A,4,pver,1,5,5,92,0
pellets,2,A,6,pver,2,1,10,92,0
pellets,2,B,2,pver,3,2,5,92,0
pellets,2,B,10,pver,4,3,30,40,1
pellets,2,C,9,pver,5,5,23,40,1
pellets,2,D,7,pver,6,1,38,92,0
pellets,2,E,1,pver,7,2,24,92,0
pellets,2,E,4,pver,8,4,1,92,0
pellets,2,E,8,pver,9,3,36,40,1
pellets,2,E,9,pver,10,4,36,40,1
pellets,3,A,4,pver,1,5,26,92,0
pellets,3,A,6,pver,2,3,5,92,0
pellets,3,B,2,pver,3,5,8,92,0
pellets,3,B,10,pver,4,4,31,92,0
pellets,3,C,9,pver,5,1,31,92,0
pellets,3,D,7,pver,6,4,14,92,0
pellets,3,E,1,pver,7,2,33,92,0
pellets,3,E,4,pver,8,3,29,92,0
pellets,3,E,8,pver,9,2,11,92,0
pellets,3,E,9,pver,10,1,27,92,0
pellets,4,A,4,pver,1,4,3,92,0
pellets,4,A,6,pver,2,2,26,92,0
pellets,4,B,2,pver,3,5,25,40,1
pellets,4,B,10,pver,4,2,6,92,0
pellets,4,C,9,pver,5,1,23,92,0
pellets,4,D,7,pver,6,4,15,92,0
pellets,4,E,1,pver,7,5,6,92,0
pellets,4,E,4,pver,8,3,37,40,1
pellets,4,E,8,pver,9,1,50,92,0
pellets,4,E,9,pver,10,3,17,40,1
