treatment,replicate,row,column,species,sp_rep,genotype,fragment,surv_time,dead
livefeeds,1,B,6,aten,4,3,21,72,1
livefeeds,1,C,1,aten,5,2,10,54,1
livefeeds,1,C,6,aten,6,3,11,73,1
livefeeds,1,C,7,aten,7,4,21,92,0
livefeeds,1,C,8,aten,8,5,12,78,1
livefeeds,1,D,1,aten,9,1,45,87,1
livefeeds,1,E,2,aten,10,1,37,82,1
livefeeds,2,A,8,aten,1,5,10,92,0
livefeeds,2,A,9,aten,2,3,26,92,0
livefeeds,2,B,3,aten,3,1,10,82,1
livefeeds,2,B,6,aten,4,1,13,92,0
livefeeds,2,C,1,aten,5,2,39,82,1
livefeeds,2,C,6,aten,6,3,12,92,0
livefeeds,2,C,7,aten,7,4,19,92,0
livefeeds,2,C,8,aten,8,5,38,92,0
livefeeds,2,D,1,aten,9,2,6,82,1
livefeeds,2,E,2,aten,10,4,8,92,0
livefeeds,3,A,8,aten,1,5,19,92,0
livefeeds,3,A,9,aten,2,5,18,92,0
livefeeds,3,B,3,aten,3,3,43,72,1
livefeeds,3,B,6,aten,4,1,39,68,1
livefeeds,3,C,1,aten,5,1,40,58,1
livefeeds,3,C,6,aten,6,2,37,81,1
livefeeds,3,C,7,aten,7,4,33,92,0
livefeeds,3,C,8,aten,8,4,32,90,1
livefeeds,3,D,1,aten,9,3,49,81,1
livefeeds,3,E,2,aten,10,2,43,85,1
livefeeds,4,A,8,aten,1,4,39,92,0
livefeeds,4,A,9,aten,2,4,47,92,0
livefeeds,4,B,3,aten,3,3,23,64,1
livefeeds,4,B,6,aten,4,1,8,50,1
livefeeds,4,C,1,aten,5,2,15,50,1
livefeeds,4,C,6,aten,6,5,21,52,1
livefeeds,4,C,7,aten,7,5,28,68,1
livefeeds,4,C,8,aten,8,4,45,92,0
livefeeds,4,D,1,aten,9,3,28,67,1
livefeeds,4,E,2,aten,10,2,8,61,1
mix,1,A,8,aten,1,5,50,92,0
mix,1,A,9,aten,2,3,9,72,1
mix,1,B,3,aten,3,3,3,72,1
mix,1,B,6,aten,4,5,8,92,0
mix,1,C,1,aten,5,4,4,73,1
mix,1,C,6,aten,6,1,14,73,1
mix,1,C,7,aten,7,2,1,64,1
mix,1,C,8,aten,8,1,27,92,0
mix,1,D,1,aten,9,2,38,92,0
mix,1,E,2,aten,10,4,6,92,0
mix,2,A,8,aten,1,2,16,72,1
mix,2,A,9,aten,2,1,28,64,1
mix,2,B,3,aten,3,4,42,92,0
mix,2,B,6,aten,4,5,24,92,0
mix,2,C,1,aten,5,2,2,81,1
mix,2,C,6,aten,6,3,18,64,1
mix,2,C,7,aten,7,1,1,75,1
mix,2,C,8,aten,8,3,10,92,0
mix,2,D,1,aten,9,5,39,92,0
mix,2,E,2,aten,10,4,2,92,0
mix,3,A,8,aten,1,5,9,92,0
mix,3,A,9,aten,2,5,23,92,0
mix,3,B,3,aten,3,2,46,72,1
mix,3,B,6,aten,4,3,39,68,1
mix,3,C,1,aten,5,1,34,78,1
mix,3,C,6,aten,6,2,49,78,1
mix,3,C,7,aten,7,4,24,78,1
mix,3,C,8,aten,8,4,17,92,0
mix,3,D,1,aten,9,1,46,92,0
